Zeitstempel;Messstelle1;Messstelle2;Messstelle3;Messstelle4
Di., 03.Jan. 2012 07:00;0,26;0,43;0,35;0,26
Di., 03.Jan. 2012 07:15;0,31;0,44;0,4;0,29
Di., 03.Jan. 2012 07:30;0,24;0,45;0,35;0,26
Di., 03.Jan. 2012 07:45;0,24;0,46;0,36;0,26
Di., 03.Jan. 2012 08:00;0,24;0,46;0,36;0,26
Di., 03.Jan. 2012 08:15;0,29;0,45;0,39;0,28
Di., 03.Jan. 2012 08:30;0,25;0,43;0,35;0,25
Di., 03.Jan. 2012 08:45;0,28;0,44;0,37;0,27
Di., 03.Jan. 2012 09:00;0,24;0,43;0,34;0,25
Di., 03.Jan. 2012 09:15;0,24;0,54;0,4;0,28
Di., 03.Jan. 2012 09:30;0,25;0,46;0,37;0,26
Di., 03.Jan. 2012 09:45;0,25;0,45;0,37;0,26
Di., 03.Jan. 2012 10:00;0,28;0,44;0,37;0,27
Di., 03.Jan. 2012 10:15;0,24;0,47;0,36;0,26
Di., 03.Jan. 2012 10:30;0,28;0,44;0,36;0,27
Di., 03.Jan. 2012 10:45;0,24;0,45;0,36;0,26
Di., 03.Jan. 2012 11:00;0,26;0,46;0,37;0,27
Di., 03.Jan. 2012 11:15;0,28;0,46;0,37;0,28
Di., 03.Jan. 2012 11:30;0,28;0,47;0,39;0,28
Di., 03.Jan. 2012 11:45;0,24;0,44;0,36;0,25
Di., 03.Jan. 2012 12:00;0,24;0,43;0,34;0,25
Di., 03.Jan. 2012 12:15;0,2;0,44;0,32;0,23
Di., 03.Jan. 2012 12:30;0,18;0,47;0,34;0,23
Di., 03.Jan. 2012 12:45;0,2;0,46;0,34;0,24
Di., 03.Jan. 2012 13:00;0,18;0,44;0,32;0,22
Di., 03.Jan. 2012 13:15;0,17;0,44;0,31;0,22
Di., 03.Jan. 2012 13:30;0,21;0,43;0,33;0,23
Di., 03.Jan. 2012 13:45;0,19;0,44;0,33;0,23
Di., 03.Jan. 2012 14:00;0,21;0,46;0,35;0,24
Di., 03.Jan. 2012 14:15;0,17;0,48;0,33;0,23
Di., 03.Jan. 2012 14:30;0,18;0,46;0,34;0,23
Di., 03.Jan. 2012 14:45;0,19;0,44;0,33;0,23
Di., 03.Jan. 2012 15:00;0,19;0,52;0,37;0,25
Di., 03.Jan. 2012 15:15;0,17;0,44;0,31;0,22
Di., 03.Jan. 2012 15:30;0,2;0,45;0,33;0,24
Di., 03.Jan. 2012 15:45;0,19;0,46;0,33;0,23
Di., 03.Jan. 2012 16:00;0,2;0,46;0,33;0,24
Di., 03.Jan. 2012 16:15;0,22;0,58;0,41;0,28
Di., 03.Jan. 2012 16:30;0,18;0,84;0,52;0,34
Di., 03.Jan. 2012 16:45;0,55;0,46;0,53;0,41
Di., 03.Jan. 2012 17:00;0,23;0,44;0,35;0,25
Di., 03.Jan. 2012 17:15;0,2;0,47;0,34;0,24
Di., 03.Jan. 2012 17:30;0,2;0,46;0,34;0,24
Di., 03.Jan. 2012 17:45;0,17;0,45;0,33;0,22
Di., 03.Jan. 2012 18:00;0,17;0,44;0,32;0,22
Di., 03.Jan. 2012 18:15;0,22;0,46;0,34;0,25
Di., 03.Jan. 2012 18:30;0,18;0,43;0,32;0,22
Di., 03.Jan. 2012 18:45;0,19;0,45;0,33;0,23
Di., 03.Jan. 2012 19:00;0,18;0,46;0,33;0,23
Di., 03.Jan. 2012 19:15;0,15;0,47;0,32;0,22
Di., 03.Jan. 2012 19:30;0,18;0,45;0,33;0,23
Di., 03.Jan. 2012 19:45;0,15;0,43;0,31;0,2
Di., 03.Jan. 2012 20:00;0,22;0,44;0,34;0,24
Di., 03.Jan. 2012 20:15;0,15;0,43;0,3;0,2
Di., 03.Jan. 2012 20:30;0,15;0,46;0,32;0,21
Di., 03.Jan. 2012 20:45;0,15;0,47;0,33;0,22
Di., 03.Jan. 2012 21:00;0,21;0,48;0,35;0,25
Di., 03.Jan. 2012 21:15;0,22;0,47;0,36;0,25
Di., 03.Jan. 2012 21:30;0,18;0,44;0,33;0,22
Di., 03.Jan. 2012 21:45;0,17;0,43;0,31;0,21
Di., 03.Jan. 2012 22:00;0,15;0,45;0,31;0,21
Di., 03.Jan. 2012 22:15;0,15;0,53;0,35;0,23
Di., 03.Jan. 2012 22:30;0,2;0,47;0,34;0,24
Di., 03.Jan. 2012 22:45;0,21;0,45;0,33;0,24
Di., 03.Jan. 2012 23:00;0,15;0,43;0,31;0,2
Di., 03.Jan. 2012 23:15;0,15;0,46;0,32;0,21
Di., 03.Jan. 2012 23:30;0,15;0,44;0,31;0,21
Di., 03.Jan. 2012 23:45;0,18;0,46;0,33;0,23
Mi., 04.Jan. 2012 00:00;0,21;0,46;0,34;0,24
Mi., 04.Jan. 2012 00:15;0,15;0,46;0,32;0,21
Mi., 04.Jan. 2012 00:30;0,15;0,44;0,31;0,21
Mi., 04.Jan. 2012 00:45;0,15;0,44;0,31;0,21
Mi., 04.Jan. 2012 01:00;0,18;0,43;0,31;0,22
Mi., 04.Jan. 2012 01:15;0,19;0,46;0,33;0,23
Mi., 04.Jan. 2012 01:30;0,2;0,48;0,36;0,24
Mi., 04.Jan. 2012 01:45;0,15;0,46;0,31;0,21
Mi., 04.Jan. 2012 02:00;0,15;0,45;0,32;0,21
Mi., 04.Jan. 2012 02:15;0,17;0,45;0,32;0,22
Mi., 04.Jan. 2012 02:30;0,17;0,43;0,31;0,21
Mi., 04.Jan. 2012 02:45;0,18;0,47;0,34;0,23
Mi., 04.Jan. 2012 03:00;0,2;0,46;0,33;0,24
Mi., 04.Jan. 2012 03:15;0,15;0,46;0,32;0,21
Mi., 04.Jan. 2012 03:30;0,17;0,46;0,32;0,22
Mi., 04.Jan. 2012 03:45;0,18;0,44;0,33;0,22
Mi., 04.Jan. 2012 04:00;0,15;0,51;0,34;0,23
